month,revenue,orders,avg_order,units_sold,unique_customers
2025-01,59677.22,662,90.15,1278,659
2025-02,55813.15,634,88.03,1185,630
2025-03,64561.47,697,92.63,1353,694
2025-04,59262.91,636,93.18,1209,636
2025-05,60017.47,699,85.86,1253,695
2025-06,62662.05,716,87.52,1295,713
2025-07,62906.96,717,87.74,1304,716
2025-08,63951.8,720,88.82,1320,717
2025-09,61122.75,636,96.1,1225,632
2025-10,61752.19,698,88.47,1281,695
2025-11,71015.15,780,91.05,1485,777
2025-12,66835.99,774,86.35,1401,772
2026-01,63386.86,696,91.07,1314,692
2026-02,59966.93,681,88.06,1307,676
2026-03,58677.63,660,88.91,1237,657
2026-04,62067.09,706,87.91,1291,704
