customer_id,monetary,first_order,last_order,frequency,recency_days,segment
C10012,179.97,2026-04-17,2026-04-17,1,13,Loyal
C10016,59.99,2025-08-31,2025-08-31,1,242,At Risk
C10017,49.99,2026-04-16,2026-04-16,1,14,New
C10034,89.97,2026-01-07,2026-01-07,1,113,New
C10036,59.98,2025-01-27,2025-01-27,1,458,At Risk
C10053,59.99,2025-12-15,2025-12-15,1,136,At Risk
C10058,59.97,2025-10-26,2025-10-26,1,186,At Risk
C10062,449.95,2026-02-17,2026-02-17,1,72,New
C10080,89.99,2025-02-23,2025-02-23,1,431,At Risk
C10085,64.98,2025-07-07,2026-03-18,2,43,Potential
C10088,19.99,2025-07-27,2025-07-27,1,277,At Risk
C10099,99.96,2025-05-15,2025-08-26,2,247,At Risk
C10111,179.98,2025-01-18,2025-01-18,1,467,At Risk
C10135,59.99,2025-10-14,2025-10-14,1,198,At Risk
C10137,69.98,2025-04-10,2025-04-10,1,385,At Risk
C10149,19.99,2026-01-22,2026-01-22,1,98,New
C10151,59.98,2025-03-23,2026-04-05,2,25,Potential
C10157,49.99,2025-07-11,2025-07-11,1,293,At Risk
C10189,29.99,2025-03-10,2025-03-10,1,416,At Risk
C10201,119.98,2025-11-23,2025-11-23,1,158,At Risk
C10205,89.99,2025-03-02,2025-03-02,1,424,At Risk
C10222,49.99,2025-03-17,2025-03-17,1,409,At Risk
C10225,99.98,2026-03-06,2026-03-06,1,55,New
C10234,59.99,2025-09-02,2025-09-02,1,240,At Risk
C10241,39.98,2025-11-30,2025-11-30,1,151,At Risk
C10247,139.96,2026-03-20,2026-03-20,1,41,New
C10252,29.99,2025-08-08,2025-08-08,1,265,At Risk
C10258,104.97,2025-01-20,2025-01-20,1,465,At Risk
C10264,99.98,2025-01-21,2025-01-21,1,464,At Risk
C10265,199.96,2026-04-25,2026-04-25,1,5,Loyal
C10295,89.97,2025-06-10,2025-06-10,1,324,At Risk
C10301,179.98,2026-03-26,2026-03-26,1,35,Loyal
C10302,59.98,2025-04-10,2025-04-10,1,385,At Risk
C10309,149.97,2025-06-29,2025-06-29,1,305,At Risk
C10317,19.99,2026-03-09,2026-03-09,1,52,New
C10323,59.98,2025-02-05,2025-02-05,1,449,At Risk
C10359,49.99,2025-10-23,2025-10-23,1,189,At Risk
C10360,139.96,2026-02-27,2026-02-27,1,62,New
