month,revenue,orders,avg_order,units_sold,unique_customers
2025-01,58122.84,656,88.6,1216,652
2025-02,55082.9,652,84.48,1210,650
2025-03,61836.99,706,87.59,1301,701
2025-04,59842.43,694,86.23,1257,690
2025-05,63591.59,723,87.96,1341,718
2025-06,51358.57,627,81.91,1143,626
2025-07,64121.93,702,91.34,1307,700
2025-08,69370.81,739,93.87,1419,737
2025-09,57997.66,678,85.54,1234,677
2025-10,60121.96,696,86.38,1304,696
2025-11,68890.72,763,90.29,1428,761
2025-12,71850.2,796,90.26,1480,795
2026-01,62476.94,684,91.34,1306,683
2026-02,59637.34,674,88.48,1266,669
2026-03,67481.21,739,91.31,1379,732
2026-04,66241.03,712,93.04,1397,710
