customer_id,monetary,first_order,last_order,frequency,recency_days,segment
C10012,299.95,2025-12-07,2025-12-07,1,144,At Risk
C10015,89.99,2025-07-02,2025-07-02,1,302,At Risk
C10017,99.98,2025-06-13,2025-06-13,1,321,At Risk
C10022,89.99,2025-09-21,2025-09-21,1,221,At Risk
C10026,179.98,2026-03-06,2026-03-06,1,55,Loyal
C10032,34.99,2026-03-15,2026-03-15,1,46,New
C10045,269.97,2025-09-25,2025-09-25,1,217,At Risk
C10048,29.99,2025-12-12,2025-12-12,1,139,At Risk
C10061,239.95,2025-10-02,2026-02-18,2,71,Potential
C10068,29.99,2025-06-25,2025-06-25,1,309,At Risk
C10087,89.99,2025-11-21,2025-11-21,1,160,At Risk
C10091,34.99,2025-09-17,2025-09-17,1,225,At Risk
C10103,99.98,2025-12-22,2025-12-22,1,129,At Risk
C10107,154.97,2025-05-22,2026-04-05,2,25,Loyal
C10122,214.97,2025-06-25,2026-03-26,3,35,Loyal
C10133,19.99,2025-09-26,2025-09-26,1,216,At Risk
C10141,39.98,2026-03-04,2026-03-04,1,57,New
C10149,59.97,2026-03-29,2026-03-29,1,32,New
C10171,49.99,2025-11-16,2025-11-16,1,165,At Risk
C10179,109.97,2025-03-20,2025-10-05,2,207,At Risk
C10184,34.99,2025-05-06,2025-05-06,1,359,At Risk
C10185,69.98,2025-09-26,2025-09-26,1,216,At Risk
C10191,59.99,2026-04-09,2026-04-09,1,21,New
C10193,124.97999999999999,2025-04-10,2025-12-07,2,144,At Risk
C10194,164.96,2026-01-16,2026-02-09,2,80,Potential
C10201,49.99,2025-07-30,2025-07-30,1,274,At Risk
C10202,49.99,2025-06-14,2025-06-14,1,320,At Risk
C10221,69.98,2025-07-04,2026-03-20,2,41,Potential
C10222,59.97,2025-09-14,2025-09-14,1,228,At Risk
C10223,179.98,2025-01-22,2025-01-22,1,463,At Risk
C10231,149.97,2026-01-27,2026-01-27,1,93,New
C10238,49.99,2026-04-11,2026-04-11,1,19,New
C10248,34.99,2025-12-16,2025-12-16,1,135,At Risk
C10273,99.98,2026-01-08,2026-01-08,1,112,New
C10279,49.99,2025-09-20,2025-09-20,1,222,At Risk
C10282,89.99,2025-08-30,2025-08-30,1,243,At Risk
C10300,89.99,2025-07-21,2025-07-21,1,283,At Risk
C10307,179.97,2026-02-24,2026-02-24,1,65,New
C10309,89.99,2025-09-03,2025-09-03,1,239,At Risk
C10310,89.97,2026-01-22,2026-01-22,1,98,New
C10336,69.98,2026-02-07,2026-02-07,1,82,New
C10339,179.98,2025-12-28,2025-12-28,1,123,At Risk
C10346,34.99,2025-07-06,2025-07-06,1,298,At Risk
C10356,49.99,2025-06-23,2025-06-23,1,311,At Risk
C10384,89.97,2025-04-10,2025-04-10,1,385,At Risk
C10385,239.96,2025-12-22,2026-04-20,2,10,Loyal
C10387,69.98,2025-10-23,2025-10-23,1,189,At Risk
C10392,29.99,2025-05-12,2025-05-12,1,353,At Risk
C10415,34.99,2025-05-01,2025-05-01,1,364,At Risk
C10425,119.98,2026-02-12,2026-02-12,1,77,New
C10440,69.98,2026-03-16,2026-03-16,1,45,New
C10446,29.99,2025-12-12,2025-12-12,1,139,At Risk
C10458,89.97,2026-04-14,2026-04-14,1,16,New
C10463,89.99,2025-12-18,2025-12-18,1,133,At Risk
C10476,89.97,2025-03-28,2025-03-28,1,398,At Risk
C10493,39.98,2026-02-14,2026-02-14,1,75,New
C10497,89.99,2026-04-29,2026-04-29,1,1,New
