month,revenue,orders,avg_order,units_sold,unique_customers
2025-01,55713.07,651,85.58,1193,646
2025-02,57542.81,657,87.58,1219,652
2025-03,58522.67,663,88.27,1233,661
2025-04,64286.82,716,89.79,1318,714
2025-05,57747.93,655,88.16,1207,651
2025-06,57847.3,650,89.0,1270,650
2025-07,62672.21,684,91.63,1279,677
2025-08,56132.97,650,86.36,1203,648
2025-09,56132.9,653,85.96,1210,653
2025-10,61971.8,687,90.21,1320,683
2025-11,72225.62,766,94.29,1438,766
2025-12,68415.86,763,89.67,1414,758
2026-01,64906.19,700,92.72,1381,695
2026-02,51049.27,608,83.96,1073,608
2026-03,58592.68,667,87.85,1232,665
2026-04,59922.32,681,87.99,1268,678
