customer_id,monetary,first_order,last_order,frequency,recency_days,segment
C10000,59.97,2026-02-28,2026-02-28,1,61,New
C10010,29.99,2025-07-23,2025-07-23,1,281,At Risk
C10022,269.97,2025-08-24,2025-08-24,1,249,At Risk
C10023,89.99,2025-06-10,2025-06-10,1,324,At Risk
C10029,59.99,2026-02-26,2026-02-26,1,63,New
C10034,34.99,2025-03-05,2025-03-05,1,421,At Risk
C10047,34.99,2025-10-25,2025-10-25,1,187,At Risk
C10057,49.99,2025-02-09,2025-02-09,1,445,At Risk
C10074,69.98,2025-11-10,2025-11-10,1,171,At Risk
C10085,49.99,2025-06-21,2025-06-21,1,313,At Risk
C10087,59.99,2025-05-04,2025-05-04,1,361,At Risk
C10094,19.99,2025-06-02,2025-06-02,1,332,At Risk
C10101,49.99,2025-09-23,2025-09-23,1,219,At Risk
C10115,19.99,2025-12-15,2025-12-15,1,136,At Risk
C10119,179.98,2025-03-05,2025-03-05,1,421,At Risk
C10132,89.97,2025-02-02,2025-02-02,1,452,At Risk
C10133,179.97,2025-11-21,2025-11-21,1,160,At Risk
C10138,359.95,2025-04-09,2025-10-13,2,199,At Risk
C10146,59.99,2025-02-19,2025-02-19,1,435,At Risk
C10162,19.99,2026-04-24,2026-04-24,1,6,New
C10167,99.98,2025-02-02,2025-02-02,1,452,At Risk
C10179,29.99,2025-10-13,2025-10-13,1,199,At Risk
C10194,49.99,2025-02-16,2025-02-16,1,438,At Risk
C10225,239.96,2025-02-02,2025-02-02,1,452,At Risk
C10239,89.99,2025-10-21,2025-10-21,1,191,At Risk
C10242,59.99,2025-04-08,2025-04-08,1,387,At Risk
C10265,149.97,2025-12-12,2025-12-12,1,139,At Risk
C10267,59.97,2025-05-07,2025-05-07,1,358,At Risk
C10291,29.99,2025-01-22,2025-01-22,1,463,At Risk
C10298,69.98,2025-06-15,2025-06-15,1,319,At Risk
C10324,49.99,2025-07-18,2025-07-18,1,286,At Risk
C10345,69.98,2025-05-23,2025-05-23,1,342,At Risk
C10355,269.97,2026-01-29,2026-01-29,1,91,New
C10357,269.96999999999997,2025-07-02,2025-07-07,2,297,At Risk
C10364,104.97,2025-07-18,2025-07-18,1,286,At Risk
C10371,49.99,2025-01-11,2025-01-11,1,474,At Risk
C10403,119.98,2025-04-21,2025-04-21,1,374,At Risk
C10407,59.98,2025-01-18,2025-01-18,1,467,At Risk
C10409,59.98,2026-02-18,2026-02-18,1,71,New
C10423,29.99,2025-10-10,2025-10-10,1,202,At Risk
C10429,34.99,2025-12-14,2025-12-14,1,137,At Risk
C10432,59.97,2026-03-29,2026-03-29,1,32,New
C10442,19.99,2025-05-09,2025-05-09,1,356,At Risk
C10444,89.99,2026-01-29,2026-01-29,1,91,New
C10447,34.99,2026-03-26,2026-03-26,1,35,New
C10452,89.99,2025-11-23,2025-11-23,1,158,At Risk
C10463,69.98,2025-09-20,2025-09-20,1,222,At Risk
C10467,104.97,2025-10-17,2025-10-17,1,195,At Risk
C10484,29.99,2025-01-20,2025-01-20,1,465,At Risk
C10497,119.98,2025-05-06,2025-05-06,1,359,At Risk
C10517,59.99,2026-02-08,2026-02-08,1,81,New
C10518,299.95,2025-05-07,2026-01-17,3,103,Potential
C10536,359.96,2025-02-08,2025-02-08,1,446,At Risk
C10541,59.97,2025-05-27,2025-05-27,1,338,At Risk
C10555,239.96,2026-01-06,2026-01-06,1,114,New
C10562,49.99,2025-11-13,2025-11-13,1,168,At Risk
C10569,59.99,2026-04-20,2026-04-20,1,10,New
