customer_id,monetary,first_order,last_order,frequency,recency_days,segment
C10002,194.94,2025-03-02,2025-07-02,3,302,At Risk
C10007,49.99,2025-04-19,2025-04-19,1,376,At Risk
C10010,34.99,2025-03-16,2025-03-16,1,410,At Risk
C10030,89.99,2025-02-25,2025-02-25,1,429,At Risk
C10057,189.95,2025-08-26,2025-09-23,2,219,At Risk
C10067,39.98,2025-12-05,2025-12-05,1,146,At Risk
C10072,59.98,2025-03-13,2025-03-13,1,413,At Risk
C10079,89.99,2026-03-11,2026-03-11,1,50,New
C10090,34.99,2025-01-07,2025-01-07,1,478,At Risk
C10093,149.95,2026-04-21,2026-04-21,1,9,New
C10101,239.96,2025-08-18,2025-08-18,1,255,At Risk
C10106,159.95,2025-02-13,2026-02-05,2,84,Potential
C10111,174.95,2025-04-30,2025-04-30,1,365,At Risk
C10114,179.97,2026-03-14,2026-03-14,1,47,Loyal
C10120,149.98,2025-02-09,2026-02-13,2,76,Potential
C10136,109.94999999999999,2025-01-09,2026-04-24,2,6,Potential
C10144,34.99,2026-02-19,2026-02-19,1,70,New
C10160,19.99,2025-08-14,2025-08-14,1,259,At Risk
C10164,139.96,2025-10-25,2025-10-25,1,187,At Risk
C10176,19.99,2026-04-25,2026-04-25,1,5,New
C10177,119.98,2026-01-08,2026-01-08,1,112,New
C10187,34.99,2025-09-29,2025-09-29,1,213,At Risk
C10200,29.99,2025-05-09,2025-05-09,1,356,At Risk
C10206,34.99,2025-03-07,2025-03-07,1,419,At Risk
C10224,89.99,2025-05-12,2025-05-12,1,353,At Risk
C10247,119.98,2025-10-13,2025-10-13,1,199,At Risk
C10251,149.97,2026-04-04,2026-04-04,1,26,New
C10263,99.98,2025-05-13,2025-05-13,1,352,At Risk
C10271,39.98,2026-04-22,2026-04-22,1,8,New
C10286,89.97,2025-11-12,2025-11-12,1,169,At Risk
C10290,49.99,2026-03-06,2026-03-06,1,55,New
C10292,269.97,2025-05-17,2025-05-17,1,348,At Risk
C10300,49.99,2025-05-29,2025-05-29,1,336,At Risk
C10301,104.97,2026-03-18,2026-03-18,1,43,New
C10303,59.99,2025-02-06,2025-02-06,1,448,At Risk
C10309,19.99,2026-04-05,2026-04-05,1,25,New
C10313,149.98,2025-05-22,2025-12-05,2,146,At Risk
C10321,19.99,2026-02-02,2026-02-02,1,87,New
C10327,59.98,2025-05-23,2025-05-23,1,342,At Risk
C10346,99.95,2025-01-10,2025-01-10,1,475,At Risk
C10349,359.96,2026-01-27,2026-01-27,1,93,New
C10351,34.99,2026-01-18,2026-01-18,1,102,New
C10358,179.98,2026-01-13,2026-01-13,1,107,New
C10369,19.99,2025-02-13,2025-02-13,1,441,At Risk
C10378,59.99,2025-04-22,2025-04-22,1,373,At Risk
C10389,34.99,2025-06-17,2025-06-17,1,317,At Risk
C10392,199.96,2026-03-10,2026-03-10,1,51,Loyal
C10418,99.95,2025-07-22,2025-07-22,1,282,At Risk
C10422,119.96,2025-04-28,2025-04-28,1,367,At Risk
C10429,34.99,2025-06-20,2025-06-20,1,314,At Risk
C10431,94.98,2025-02-14,2025-11-09,2,172,At Risk
C10460,34.99,2026-01-08,2026-01-08,1,112,New
C10462,249.95999999999998,2025-05-09,2026-02-12,2,77,Potential
C10465,99.98,2025-04-04,2025-04-04,1,391,At Risk
C10471,179.97,2025-07-06,2025-07-06,1,298,At Risk
C10473,209.96,2025-09-22,2025-12-29,2,122,At Risk
C10481,59.99,2026-04-11,2026-04-11,1,19,New
C10506,179.97,2025-07-08,2025-07-08,1,296,At Risk
C10507,179.98,2025-12-17,2025-12-17,1,134,At Risk
C10515,179.98,2025-09-27,2025-09-27,1,215,At Risk
C10533,34.99,2025-04-21,2025-04-21,1,374,At Risk
C10537,269.97,2025-08-21,2025-08-21,1,252,At Risk
C10542,49.99,2025-06-30,2025-06-30,1,304,At Risk
C10546,19.99,2026-03-14,2026-03-14,1,47,New
C10550,179.98,2025-08-25,2025-08-25,1,248,At Risk
C10555,39.98,2025-07-19,2025-07-19,1,285,At Risk
C10563,59.99,2025-08-09,2025-08-09,1,264,At Risk
C10584,34.99,2025-12-06,2025-12-06,1,145,At Risk
C10587,89.99,2026-03-12,2026-03-12,1,49,New
C10591,49.99,2025-01-16,2025-01-16,1,469,At Risk
C10598,29.99,2026-02-02,2026-02-02,1,87,New
C10600,89.97,2026-02-12,2026-02-12,1,77,New
C10604,29.99,2025-03-25,2025-03-25,1,401,At Risk
C10618,59.99,2025-10-23,2025-10-23,1,189,At Risk
C10642,169.96,2025-03-07,2025-03-10,2,416,At Risk
C10652,29.99,2025-09-03,2025-09-03,1,239,At Risk
C10664,49.99,2025-11-07,2025-11-07,1,174,At Risk
C10667,149.97,2025-12-13,2025-12-13,1,138,At Risk
C10670,39.98,2025-09-30,2025-09-30,1,212,At Risk
C10673,69.98,2025-07-06,2025-07-06,1,298,At Risk
C10681,179.97,2026-03-08,2026-03-08,1,53,Loyal
C10683,104.97,2025-05-03,2025-05-03,1,362,At Risk
C10685,59.98,2025-07-03,2025-07-03,1,301,At Risk
C10693,19.99,2025-03-25,2025-03-25,1,401,At Risk
C10714,49.99,2025-10-27,2025-10-27,1,185,At Risk
C10728,59.98,2025-02-24,2025-02-24,1,430,At Risk
C10730,89.99,2025-05-13,2025-05-13,1,352,At Risk
C10732,19.99,2025-02-21,2025-02-21,1,433,At Risk
C10736,69.98,2025-11-13,2025-11-13,1,168,At Risk
C10738,59.99,2025-06-29,2025-06-29,1,305,At Risk
C10749,154.97,2025-09-23,2026-01-01,2,119,Potential
C10750,49.99,2025-06-06,2025-06-06,1,328,At Risk
C10756,34.99,2026-04-02,2026-04-02,1,28,New
C10774,29.99,2025-07-04,2025-07-04,1,300,At Risk
C10780,49.99,2025-01-09,2025-01-09,1,476,At Risk
C10792,89.99,2025-06-07,2025-06-07,1,327,At Risk
C10802,149.95,2026-04-24,2026-04-24,1,6,New
C10811,59.98,2025-02-12,2025-02-12,1,442,At Risk
C10843,34.99,2025-07-05,2025-07-05,1,299,At Risk
C10847,34.99,2025-09-03,2025-09-03,1,239,At Risk
C10861,19.99,2025-08-12,2025-08-12,1,261,At Risk
C10867,34.99,2025-05-07,2025-05-07,1,358,At Risk
C10884,49.99,2025-10-06,2025-10-06,1,206,At Risk
C10887,59.99,2026-02-15,2026-02-15,1,74,New
