date,product_name,category,unit_price,quantity,total,region,customer_id
2025-01-01,Home Set,Home & Garden,89.99,1,89.99,Asia,C47075
2025-01-01,Widget Pro,Electronics,29.99,1,29.99,Oceania,C92742
2025-01-01,Gadget X,Electronics,49.99,5,249.95,LATAM,C23156
2025-01-01,Book Bundle,Books,19.99,2,39.98,LATAM,C57475
2025-01-01,Beauty Kit,Beauty,34.99,1,34.99,North America,C47021
2025-01-01,Home Set,Home & Garden,89.99,1,89.99,LATAM,C81491
2025-01-01,Book Bundle,Books,19.99,1,19.99,Oceania,C64915
2025-01-01,Gadget X,Electronics,49.99,4,199.96,Asia,C93728
2025-01-01,Gadget X,Electronics,49.99,1,49.99,Europe,C95958
2025-01-01,Sport Gear,Sports,59.99,1,59.99,LATAM,C69459
2025-01-01,Widget Pro,Electronics,29.99,2,59.98,North America,C40705
2025-01-01,Book Bundle,Books,19.99,3,59.97,LATAM,C44057
2025-01-01,Book Bundle,Books,19.99,2,39.98,Europe,C76200
2025-01-01,Gadget X,Electronics,49.99,4,199.96,Asia,C26988
2025-01-01,Home Set,Home & Garden,89.99,1,89.99,Oceania,C96281
2025-01-01,Widget Pro,Electronics,29.99,1,29.99,Asia,C38550
2025-01-01,Widget Pro,Electronics,29.99,4,119.96,North America,C59223
2025-01-01,Beauty Kit,Beauty,34.99,1,34.99,North America,C87602
2025-01-01,Book Bundle,Books,19.99,1,19.99,North America,C43025
2025-01-01,Gadget X,Electronics,49.99,4,199.96,Oceania,C84162
2025-01-01,Book Bundle,Books,19.99,1,19.99,North America,C28413
2025-01-01,Gadget X,Electronics,49.99,2,99.98,Oceania,C79365
2025-01-01,Book Bundle,Books,19.99,2,39.98,Europe,C80122
2025-01-01,Widget Pro,Electronics,29.99,3,89.97,LATAM,C94439
2025-01-01,Book Bundle,Books,19.99,5,99.95,North America,C35463
2025-01-01,Book Bundle,Books,19.99,1,19.99,Europe,C34790
2025-01-02,Gadget X,Electronics,49.99,3,149.97,North America,C80624
2025-01-02,Gadget X,Electronics,49.99,4,199.96,Asia,C13941
2025-01-02,Sport Gear,Sports,59.99,2,119.98,Asia,C19817
2025-01-02,Widget Pro,Electronics,29.99,3,89.97,LATAM,C73912
2025-01-02,Home Set,Home & Garden,89.99,1,89.99,Oceania,C23510
2025-01-02,Book Bundle,Books,19.99,2,39.98,Asia,C28489
2025-01-02,Sport Gear,Sports,59.99,4,239.96,Oceania,C14399
2025-01-02,Gadget X,Electronics,49.99,5,249.95,Europe,C70163
2025-01-02,Beauty Kit,Beauty,34.99,1,34.99,Asia,C54892
2025-01-02,Widget Pro,Electronics,29.99,1,29.99,Oceania,C50664
2025-01-02,Sport Gear,Sports,59.99,2,119.98,LATAM,C46779
2025-01-02,Beauty Kit,Beauty,34.99,1,34.99,North America,C56947
2025-01-02,Sport Gear,Sports,59.99,1,59.99,Europe,C70565
2025-01-02,Widget Pro,Electronics,29.99,1,29.99,Oceania,C16350
2025-01-02,Home Set,Home & Garden,89.99,2,179.98,Asia,C31382
2025-01-02,Book Bundle,Books,19.99,1,19.99,Asia,C17538
2025-01-02,Sport Gear,Sports,59.99,4,239.96,Oceania,C49746
2025-01-02,Sport Gear,Sports,59.99,1,59.99,Asia,C88606
2025-01-02,Sport Gear,Sports,59.99,2,119.98,Europe,C69504
2025-01-02,Beauty Kit,Beauty,34.99,2,69.98,Asia,C95420
2025-01-02,Beauty Kit,Beauty,34.99,3,104.97,Oceania,C21133
2025-01-03,Sport Gear,Sports,59.99,1,59.99,Asia,C40009
2025-01-03,Beauty Kit,Beauty,34.99,1,34.99,North America,C38442
2025-01-03,Beauty Kit,Beauty,34.99,3,104.97,Oceania,C63231
2025-01-03,Sport Gear,Sports,59.99,1,59.99,Oceania,C53413
2025-01-03,Book Bundle,Books,19.99,3,59.97,Oceania,C34598
2025-01-03,Book Bundle,Books,19.99,1,19.99,North America,C70994
2025-01-03,Sport Gear,Sports,59.99,2,119.98,North America,C82276
2025-01-03,Book Bundle,Books,19.99,4,79.96,LATAM,C98445
2025-01-03,Sport Gear,Sports,59.99,1,59.99,Oceania,C94999
2025-01-03,Sport Gear,Sports,59.99,2,119.98,Oceania,C25461
2025-01-03,Sport Gear,Sports,59.99,1,59.99,Europe,C78854
2025-01-03,Sport Gear,Sports,59.99,4,239.96,LATAM,C29338
2025-01-03,Widget Pro,Electronics,29.99,1,29.99,LATAM,C62828
2025-01-03,Home Set,Home & Garden,89.99,2,179.98,North America,C97080
2025-01-03,Book Bundle,Books,19.99,1,19.99,North America,C13127
2025-01-03,Book Bundle,Books,19.99,1,19.99,Europe,C29330
2025-01-03,Home Set,Home & Garden,89.99,3,269.97,North America,C76262
2025-01-03,Widget Pro,Electronics,29.99,1,29.99,LATAM,C96909
2025-01-03,Widget Pro,Electronics,29.99,1,29.99,North America,C63034
2025-01-03,Sport Gear,Sports,59.99,4,239.96,Europe,C58450
2025-01-03,Gadget X,Electronics,49.99,2,99.98,Europe,C44167
2025-01-03,Gadget X,Electronics,49.99,4,199.96,Oceania,C29675
2025-01-03,Home Set,Home & Garden,89.99,1,89.99,LATAM,C49374
2025-01-04,Book Bundle,Books,19.99,2,39.98,Europe,C49724
2025-01-04,Beauty Kit,Beauty,34.99,1,34.99,LATAM,C91038
2025-01-04,Gadget X,Electronics,49.99,3,149.97,Oceania,C97387
2025-01-04,Sport Gear,Sports,59.99,1,59.99,North America,C54600
2025-01-04,Home Set,Home & Garden,89.99,5,449.95,North America,C13581
2025-01-04,Book Bundle,Books,19.99,1,19.99,Europe,C60802
2025-01-04,Book Bundle,Books,19.99,4,79.96,Asia,C33954
2025-01-04,Book Bundle,Books,19.99,1,19.99,North America,C76367
2025-01-04,Gadget X,Electronics,49.99,1,49.99,Asia,C89071
2025-01-04,Book Bundle,Books,19.99,2,39.98,Oceania,C46788
2025-01-04,Home Set,Home & Garden,89.99,1,89.99,North America,C36236
2025-01-04,Widget Pro,Electronics,29.99,1,29.99,LATAM,C64623
2025-01-04,Widget Pro,Electronics,29.99,2,59.98,LATAM,C48065
2025-01-04,Home Set,Home & Garden,89.99,1,89.99,Asia,C56188
2025-01-04,Gadget X,Electronics,49.99,2,99.98,Asia,C54173
2025-01-04,Beauty Kit,Beauty,34.99,1,34.99,LATAM,C77147
2025-01-04,Home Set,Home & Garden,89.99,2,179.98,Europe,C91677
2025-01-04,Widget Pro,Electronics,29.99,1,29.99,Asia,C36308
2025-01-04,Gadget X,Electronics,49.99,2,99.98,Oceania,C14909
2025-01-05,Gadget X,Electronics,49.99,2,99.98,Europe,C29516
2025-01-05,Sport Gear,Sports,59.99,4,239.96,Europe,C14631
2025-01-05,Home Set,Home & Garden,89.99,3,269.97,Oceania,C49715
2025-01-05,Beauty Kit,Beauty,34.99,1,34.99,Oceania,C26872
2025-01-05,Book Bundle,Books,19.99,1,19.99,Oceania,C30055
2025-01-05,Book Bundle,Books,19.99,1,19.99,North America,C16012
2025-01-05,Sport Gear,Sports,59.99,1,59.99,LATAM,C43302
2025-01-05,Gadget X,Electronics,49.99,1,49.99,LATAM,C34125
2025-01-05,Beauty Kit,Beauty,34.99,1,34.99,North America,C77719
2025-01-05,Beauty Kit,Beauty,34.99,2,69.98,North America,C43267
2025-01-05,Sport Gear,Sports,59.99,2,119.98,North America,C52044
2025-01-05,Sport Gear,Sports,59.99,1,59.99,Europe,C39203
2025-01-05,Sport Gear,Sports,59.99,1,59.99,LATAM,C12865
2025-01-05,Widget Pro,Electronics,29.99,1,29.99,Oceania,C78072
2025-01-05,Home Set,Home & Garden,89.99,1,89.99,Europe,C20082
2025-01-05,Beauty Kit,Beauty,34.99,1,34.99,Asia,C86694
2025-01-05,Book Bundle,Books,19.99,1,19.99,North America,C49908
2025-01-05,Gadget X,Electronics,49.99,1,49.99,North America,C28115
2025-01-05,Home Set,Home & Garden,89.99,5,449.95,Europe,C12625
2025-01-06,Book Bundle,Books,19.99,1,19.99,Asia,C54968
2025-01-06,Book Bundle,Books,19.99,1,19.99,Asia,C83854
2025-01-06,Widget Pro,Electronics,29.99,2,59.98,Asia,C81085
2025-01-06,Home Set,Home & Garden,89.99,1,89.99,LATAM,C66532
2025-01-06,Home Set,Home & Garden,89.99,1,89.99,Oceania,C63962
2025-01-06,Gadget X,Electronics,49.99,2,99.98,Europe,C20419
2025-01-06,Widget Pro,Electronics,29.99,3,89.97,LATAM,C32831
2025-01-06,Gadget X,Electronics,49.99,2,99.98,LATAM,C65449
2025-01-06,Widget Pro,Electronics,29.99,1,29.99,Oceania,C19102
2025-01-06,Book Bundle,Books,19.99,4,79.96,Asia,C97197
2025-01-06,Home Set,Home & Garden,89.99,2,179.98,Asia,C93820
2025-01-06,Gadget X,Electronics,49.99,1,49.99,Europe,C61922
2025-01-06,Sport Gear,Sports,59.99,2,119.98,Asia,C41627
2025-01-06,Widget Pro,Electronics,29.99,2,59.98,Asia,C41486
2025-01-06,Home Set,Home & Garden,89.99,2,179.98,Europe,C24333
2025-01-06,Sport Gear,Sports,59.99,3,179.97,LATAM,C91588
2025-01-06,Sport Gear,Sports,59.99,2,119.98,North America,C29258
2025-01-06,Widget Pro,Electronics,29.99,2,59.98,LATAM,C44733
2025-01-06,Widget Pro,Electronics,29.99,2,59.98,North America,C19867
2025-01-06,Widget Pro,Electronics,29.99,4,119.96,Asia,C65499
2025-01-07,Beauty Kit,Beauty,34.99,1,34.99,LATAM,C96765
2025-01-07,Gadget X,Electronics,49.99,3,149.97,Europe,C64212
2025-01-07,Beauty Kit,Beauty,34.99,2,69.98,Oceania,C85621
2025-01-07,Gadget X,Electronics,49.99,2,99.98,LATAM,C64782
2025-01-07,Beauty Kit,Beauty,34.99,2,69.98,North America,C77197
2025-01-07,Gadget X,Electronics,49.99,2,99.98,Asia,C16870
2025-01-07,Beauty Kit,Beauty,34.99,1,34.99,North America,C50450
2025-01-07,Beauty Kit,Beauty,34.99,2,69.98,Europe,C13644
2025-01-07,Sport Gear,Sports,59.99,1,59.99,Asia,C95069
2025-01-07,Book Bundle,Books,19.99,1,19.99,Europe,C50780
2025-01-07,Gadget X,Electronics,49.99,2,99.98,LATAM,C11083
2025-01-07,Home Set,Home & Garden,89.99,3,269.97,North America,C48190
2025-01-07,Gadget X,Electronics,49.99,2,99.98,Europe,C37404
2025-01-07,Sport Gear,Sports,59.99,1,59.99,Oceania,C79885
2025-01-07,Book Bundle,Books,19.99,2,39.98,Asia,C64153
2025-01-07,Beauty Kit,Beauty,34.99,2,69.98,Oceania,C67670
2025-01-07,Beauty Kit,Beauty,34.99,2,69.98,Asia,C70579
2025-01-07,Home Set,Home & Garden,89.99,4,359.96,Oceania,C27621
2025-01-07,Book Bundle,Books,19.99,3,59.97,LATAM,C57311
2025-01-07,Beauty Kit,Beauty,34.99,3,104.97,Asia,C19619
2025-01-07,Widget Pro,Electronics,29.99,3,89.97,Europe,C81621
2025-01-07,Gadget X,Electronics,49.99,1,49.99,North America,C26988
2025-01-07,Home Set,Home & Garden,89.99,1,89.99,Oceania,C85806
2025-01-07,Beauty Kit,Beauty,34.99,1,34.99,LATAM,C10090
2025-01-08,Book Bundle,Books,19.99,1,19.99,Asia,C27582
2025-01-08,Home Set,Home & Garden,89.99,2,179.98,North America,C89737
2025-01-08,Home Set,Home & Garden,89.99,2,179.98,LATAM,C86298
2025-01-08,Gadget X,Electronics,49.99,2,99.98,Europe,C83271
2025-01-08,Book Bundle,Books,19.99,2,39.98,Europe,C67887
2025-01-08,Book Bundle,Books,19.99,4,79.96,Asia,C87673
2025-01-08,Beauty Kit,Beauty,34.99,2,69.98,LATAM,C34172
2025-01-08,Book Bundle,Books,19.99,1,19.99,Asia,C18886
2025-01-08,Widget Pro,Electronics,29.99,1,29.99,Asia,C90432
2025-01-08,Widget Pro,Electronics,29.99,3,89.97,North America,C20817
2025-01-08,Home Set,Home & Garden,89.99,3,269.97,LATAM,C13819
2025-01-08,Book Bundle,Books,19.99,2,39.98,North America,C73070
2025-01-08,Gadget X,Electronics,49.99,5,249.95,Oceania,C20146
2025-01-08,Beauty Kit,Beauty,34.99,2,69.98,Oceania,C23737
2025-01-08,Home Set,Home & Garden,89.99,3,269.97,North America,C72413
2025-01-08,Sport Gear,Sports,59.99,2,119.98,Asia,C91760
2025-01-08,Beauty Kit,Beauty,34.99,3,104.97,LATAM,C80652
2025-01-08,Home Set,Home & Garden,89.99,1,89.99,Europe,C73181
2025-01-08,Book Bundle,Books,19.99,3,59.97,North America,C29932
2025-01-08,Book Bundle,Books,19.99,1,19.99,Asia,C20914
2025-01-08,Sport Gear,Sports,59.99,2,119.98,Asia,C57716
2025-01-08,Home Set,Home & Garden,89.99,1,89.99,Asia,C92478
2025-01-08,Home Set,Home & Garden,89.99,1,89.99,Europe,C46320
2025-01-08,Sport Gear,Sports,59.99,2,119.98,Europe,C51635
2025-01-08,Sport Gear,Sports,59.99,1,59.99,LATAM,C78399
2025-01-08,Widget Pro,Electronics,29.99,2,59.98,LATAM,C49251
2025-01-09,Sport Gear,Sports,59.99,2,119.98,North America,C36542
2025-01-09,Gadget X,Electronics,49.99,1,49.99,North America,C10780
2025-01-09,Gadget X,Electronics,49.99,2,99.98,North America,C73995
2025-01-09,Book Bundle,Books,19.99,1,19.99,North America,C36300
2025-01-09,Beauty Kit,Beauty,34.99,3,104.97,North America,C67314
2025-01-09,Sport Gear,Sports,59.99,4,239.96,Europe,C76601
2025-01-09,Sport Gear,Sports,59.99,1,59.99,North America,C74820
2025-01-09,Gadget X,Electronics,49.99,3,149.97,Europe,C59438
2025-01-09,Home Set,Home & Garden,89.99,2,179.98,LATAM,C73834
2025-01-09,Beauty Kit,Beauty,34.99,1,34.99,Europe,C46712
2025-01-09,Sport Gear,Sports,59.99,1,59.99,North America,C91394
2025-01-09,Sport Gear,Sports,59.99,1,59.99,North America,C22536
2025-01-09,Home Set,Home & Garden,89.99,2,179.98,Asia,C59033
2025-01-09,Widget Pro,Electronics,29.99,1,29.99,Oceania,C57176
2025-01-09,Beauty Kit,Beauty,34.99,4,139.96,Oceania,C87186
2025-01-09,Widget Pro,Electronics,29.99,3,89.97,Europe,C39636
2025-01-09,Widget Pro,Electronics,29.99,1,29.99,North America,C59801
2025-01-09,Sport Gear,Sports,59.99,1,59.99,Asia,C27155
2025-01-09,Sport Gear,Sports,59.99,1,59.99,North America,C77785
2025-01-09,Home Set,Home & Garden,89.99,4,359.96,North America,C88961
2025-01-09,Book Bundle,Books,19.99,1,19.99,Europe,C93572
2025-01-09,Book Bundle,Books,19.99,1,19.99,Oceania,C70770
2025-01-09,Home Set,Home & Garden,89.99,2,179.98,Oceania,C29495
2025-01-09,Beauty Kit,Beauty,34.99,3,104.97,Asia,C70641
2025-01-09,Sport Gear,Sports,59.99,1,59.99,Asia,C92820
2025-01-09,Sport Gear,Sports,59.99,3,179.97,Europe,C67351
2025-01-09,Book Bundle,Books,19.99,2,39.98,LATAM,C40213
2025-01-09,Book Bundle,Books,19.99,4,79.96,North America,C10136
2025-01-10,Sport Gear,Sports,59.99,1,59.99,LATAM,C63884
2025-01-10,Widget Pro,Electronics,29.99,2,59.98,Europe,C21464
2025-01-10,Book Bundle,Books,19.99,1,19.99,Europe,C16107
2025-01-10,Book Bundle,Books,19.99,1,19.99,Europe,C54405
2025-01-10,Home Set,Home & Garden,89.99,2,179.98,Oceania,C49381
2025-01-10,Sport Gear,Sports,59.99,1,59.99,LATAM,C37134
2025-01-10,Gadget X,Electronics,49.99,1,49.99,North America,C25500
