month,revenue,orders,avg_order,units_sold,unique_customers
2025-01,58742.36,664,88.47,1264,662
2025-02,59402.22,694,85.59,1278,692
2025-03,61241.77,718,85.29,1323,714
2025-04,61911.93,694,89.21,1307,690
2025-05,58002.79,683,84.92,1221,683
2025-06,60277.23,675,89.3,1277,673
2025-07,60506.99,692,87.44,1301,691
2025-08,62292.32,682,91.34,1268,680
2025-09,59237.73,654,90.58,1227,652
2025-10,64316.98,702,91.62,1302,698
2025-11,63576.75,731,86.97,1325,726
2025-12,72494.54,821,88.3,1546,818
2026-01,64271.74,715,89.89,1326,714
2026-02,51228.92,606,84.54,1108,604
2026-03,60452.29,682,88.64,1271,682
2026-04,62116.74,708,87.74,1326,706
