customer_id,monetary,first_order,last_order,frequency,recency_days,segment
C10002,49.99,2025-05-05,2025-05-05,1,360,At Risk
C10006,269.97,2025-01-03,2025-01-03,1,482,At Risk
C10011,59.99,2026-03-06,2026-03-06,1,55,New
C10012,119.98,2025-09-23,2025-09-23,1,219,At Risk
C10017,34.99,2026-01-29,2026-01-29,1,91,New
C10022,59.97,2025-10-14,2025-10-14,1,198,At Risk
C10025,179.97,2025-03-08,2025-03-08,1,418,At Risk
C10030,259.95,2025-04-25,2025-09-26,2,216,At Risk
C10036,89.99,2025-04-10,2025-04-10,1,385,At Risk
C10046,59.98,2025-04-24,2025-04-24,1,371,At Risk
C10048,29.99,2025-03-14,2025-03-14,1,412,At Risk
C10056,179.98,2025-12-06,2025-12-06,1,145,At Risk
C10057,59.99,2025-01-09,2025-01-09,1,476,At Risk
C10076,79.96,2026-04-07,2026-04-07,1,23,New
C10080,29.99,2025-03-17,2025-03-17,1,409,At Risk
C10082,49.99,2025-06-28,2025-06-28,1,306,At Risk
C10088,49.99,2025-01-14,2025-01-14,1,471,At Risk
C10093,34.99,2025-02-12,2025-02-12,1,442,At Risk
C10094,119.98,2025-02-16,2025-02-16,1,438,At Risk
C10101,179.98,2025-10-20,2025-10-20,1,192,At Risk
C10104,179.98,2025-07-04,2025-07-04,1,300,At Risk
C10117,19.99,2026-01-26,2026-01-26,1,94,New
C10118,269.97,2026-03-21,2026-03-21,1,40,Loyal
C10122,19.99,2025-03-10,2025-03-10,1,416,At Risk
C10138,269.97,2025-11-08,2025-11-08,1,173,At Risk
C10142,89.99,2025-08-16,2025-08-16,1,257,At Risk
C10162,89.97,2025-04-24,2025-04-24,1,371,At Risk
C10191,34.99,2025-04-03,2025-04-03,1,392,At Risk
C10193,119.98,2025-01-12,2025-01-12,1,473,At Risk
C10204,89.99,2025-05-31,2025-05-31,1,334,At Risk
C10205,49.99,2025-10-27,2025-10-27,1,185,At Risk
C10209,34.99,2025-06-14,2025-06-14,1,320,At Risk
C10213,359.96,2025-02-22,2025-02-22,1,432,At Risk
C10217,99.98,2025-12-29,2025-12-29,1,122,At Risk
C10227,149.97,2025-01-06,2025-01-06,1,479,At Risk
C10235,34.99,2025-09-23,2025-09-23,1,219,At Risk
C10244,89.97,2025-03-02,2025-03-02,1,424,At Risk
C10250,34.99,2025-09-30,2025-09-30,1,212,At Risk
C10255,69.98,2026-04-06,2026-04-06,1,24,New
C10257,34.99,2025-03-05,2025-03-05,1,421,At Risk
C10269,59.99,2025-02-10,2025-02-10,1,444,At Risk
C10271,34.99,2025-08-19,2025-08-19,1,254,At Risk
C10275,79.96,2025-12-01,2025-12-01,1,150,At Risk
C10278,119.96,2025-02-01,2025-02-01,1,453,At Risk
C10282,29.99,2026-04-24,2026-04-24,1,6,New
C10294,119.96,2026-04-16,2026-04-16,1,14,New
C10337,149.97,2025-12-27,2025-12-27,1,124,At Risk
C10341,59.97,2026-01-26,2026-01-26,1,94,New
C10400,179.97,2025-05-18,2025-05-18,1,347,At Risk
C10404,69.98,2025-04-23,2025-04-23,1,372,At Risk
C10412,39.98,2025-12-22,2025-12-22,1,129,At Risk
C10415,49.99,2025-03-05,2025-03-05,1,421,At Risk
C10430,199.96,2025-11-18,2025-11-18,1,163,At Risk
C10439,29.99,2025-10-28,2025-10-28,1,184,At Risk
C10442,34.99,2026-03-07,2026-03-07,1,54,New
C10456,49.99,2025-11-30,2025-11-30,1,151,At Risk
C10457,59.98,2025-06-14,2025-06-14,1,320,At Risk
