month,revenue,orders,avg_order,units_sold,unique_customers
2025-01,62126.64,705,88.12,1336,703
2025-02,50639.49,582,87.01,1051,580
2025-03,62151.74,702,88.54,1326,698
2025-04,56262.76,653,86.16,1224,651
2025-05,66391.53,701,94.71,1347,697
2025-06,57183.03,644,88.79,1197,644
2025-07,63771.07,737,86.53,1393,733
2025-08,59237.37,675,87.76,1263,672
2025-09,59887.57,643,93.14,1243,639
2025-10,62321.83,710,87.78,1317,709
2025-11,68565.7,772,88.82,1430,769
2025-12,63526.53,702,90.49,1347,698
2026-01,61636.96,702,87.8,1304,702
2026-02,58972.31,666,88.55,1269,661
2026-03,63286.64,710,89.14,1336,704
2026-04,59712.24,673,88.73,1276,672
