customer_id,monetary,first_order,last_order,frequency,recency_days,segment
C10036,29.99,2025-05-12,2025-05-12,1,353,At Risk
C10037,59.99,2025-06-22,2025-06-22,1,312,At Risk
C10063,29.99,2026-03-01,2026-03-01,1,60,New
C10076,59.99,2025-03-10,2025-03-10,1,416,At Risk
C10080,99.95,2026-01-15,2026-01-15,1,105,New
C10081,49.99,2025-08-02,2025-08-02,1,271,At Risk
C10087,34.99,2025-01-14,2025-01-14,1,471,At Risk
C10095,49.99,2025-03-16,2025-03-16,1,410,At Risk
C10105,89.97,2025-12-09,2025-12-09,1,142,At Risk
C10106,89.99,2026-04-04,2026-04-04,1,26,New
C10114,49.99,2025-01-19,2025-01-19,1,466,At Risk
C10130,34.99,2026-04-26,2026-04-26,1,4,New
C10132,89.99,2025-07-27,2025-07-27,1,277,At Risk
C10134,34.99,2025-08-17,2025-08-17,1,256,At Risk
C10140,39.98,2025-03-03,2025-03-03,1,423,At Risk
C10143,19.99,2026-01-02,2026-01-02,1,118,New
C10166,19.99,2025-11-17,2025-11-17,1,164,At Risk
C10168,34.99,2025-10-29,2025-10-29,1,183,At Risk
C10175,34.99,2026-01-19,2026-01-19,1,101,New
C10177,59.99,2025-08-03,2025-08-03,1,270,At Risk
C10180,29.99,2026-02-22,2026-02-22,1,67,New
C10182,19.99,2025-07-21,2025-07-21,1,283,At Risk
C10192,59.99,2025-10-08,2025-10-08,1,204,At Risk
C10199,29.99,2025-01-16,2025-01-16,1,469,At Risk
C10214,49.99,2025-07-04,2025-07-04,1,300,At Risk
C10220,29.99,2025-06-06,2025-06-06,1,328,At Risk
C10228,29.99,2025-09-07,2025-09-07,1,235,At Risk
C10236,59.98,2025-01-13,2025-01-13,1,472,At Risk
C10262,29.99,2026-01-18,2026-01-18,1,102,New
C10273,119.96,2025-03-17,2025-03-17,1,409,At Risk
C10277,34.99,2025-12-27,2025-12-27,1,124,At Risk
C10278,79.96,2025-12-14,2025-12-14,1,137,At Risk
C10282,69.98,2025-03-28,2025-03-28,1,398,At Risk
C10306,59.99,2025-04-12,2025-04-12,1,383,At Risk
C10326,59.97,2026-01-31,2026-01-31,1,89,New
C10329,39.98,2025-09-13,2025-09-13,1,229,At Risk
C10347,179.98,2026-03-16,2026-03-16,1,45,Loyal
C10349,29.99,2025-03-24,2025-03-24,1,402,At Risk
C10359,179.98,2025-02-17,2025-02-17,1,437,At Risk
C10368,89.97,2026-04-24,2026-04-24,1,6,New
C10376,89.99,2025-06-13,2025-06-13,1,321,At Risk
C10432,49.99,2025-09-06,2025-09-06,1,236,At Risk
C10436,39.98,2025-11-08,2025-11-08,1,173,At Risk
C10448,49.99,2025-07-26,2025-07-26,1,278,At Risk
C10454,59.98,2025-05-03,2025-05-03,1,362,At Risk
C10479,99.98,2026-01-08,2026-01-08,1,112,New
C10482,34.99,2025-05-18,2025-05-18,1,347,At Risk
C10483,89.99,2025-01-02,2025-01-02,1,483,At Risk
C10485,64.98,2025-09-01,2025-11-21,2,160,At Risk
C10490,59.99,2025-06-25,2025-06-25,1,309,At Risk
C10497,139.96,2026-02-03,2026-02-03,1,86,New
C10501,34.99,2026-03-28,2026-03-28,1,33,New
C10512,29.99,2026-03-05,2026-03-05,1,56,New
C10528,99.98,2025-05-05,2025-05-05,1,360,At Risk
C10539,89.99,2026-03-21,2026-03-21,1,40,New
C10544,179.98,2025-02-22,2025-02-22,1,432,At Risk
C10552,19.99,2025-05-01,2025-05-01,1,364,At Risk
C10555,179.98,2026-03-13,2026-03-13,1,48,Loyal
C10559,34.99,2025-06-14,2025-06-14,1,320,At Risk
C10561,119.98,2025-03-12,2025-03-12,1,414,At Risk
C10578,79.96,2025-05-13,2025-05-13,1,352,At Risk
C10580,59.99,2025-12-29,2025-12-29,1,122,At Risk
C10586,89.99,2025-06-14,2025-06-14,1,320,At Risk
C10587,34.99,2026-03-06,2026-03-06,1,55,New
C10601,89.99,2025-11-16,2025-11-16,1,165,At Risk
C10602,59.99,2026-04-23,2026-04-23,1,7,New
C10612,149.95,2026-02-21,2026-02-21,1,68,New
C10626,359.96,2025-06-07,2025-06-07,1,327,At Risk
C10632,299.95,2025-05-09,2025-05-09,1,356,At Risk
C10636,179.98,2026-01-11,2026-01-11,1,109,New
C10638,59.97,2025-10-04,2025-10-04,1,208,At Risk
C10650,89.99,2026-04-20,2026-04-20,1,10,New
C10667,149.97,2025-07-15,2025-07-15,1,289,At Risk
C10674,19.99,2025-01-10,2025-01-10,1,475,At Risk
C10677,89.99,2025-09-28,2025-09-28,1,214,At Risk
C10691,34.99,2025-07-15,2025-07-15,1,289,At Risk
C10696,59.99,2025-05-04,2025-05-04,1,361,At Risk
C10698,89.97,2025-10-09,2025-10-09,1,203,At Risk
C10701,199.96,2025-04-21,2025-04-21,1,374,At Risk
C10709,99.98,2025-12-12,2025-12-12,1,139,At Risk
C10718,59.99,2025-12-03,2025-12-03,1,148,At Risk
C10722,79.96,2025-08-06,2025-08-06,1,267,At Risk
C10748,89.99,2025-08-12,2025-08-12,1,261,At Risk
C10751,99.98,2025-02-17,2025-02-17,1,437,At Risk
C10803,119.98,2026-03-25,2026-03-25,1,36,New
C10824,49.99,2025-06-09,2025-06-09,1,325,At Risk
C10825,99.98,2025-09-28,2025-09-28,1,214,At Risk
C10832,119.98,2025-10-11,2025-10-11,1,201,At Risk
C10851,19.99,2026-02-25,2026-02-25,1,64,New
C10860,69.98,2025-07-02,2025-07-02,1,302,At Risk
C10863,34.99,2025-09-30,2025-09-30,1,212,At Risk
C10867,49.99,2026-04-19,2026-04-19,1,11,New
C10874,19.99,2026-04-15,2026-04-15,1,15,New
C10879,89.99,2025-12-18,2025-12-18,1,133,At Risk
C10892,89.99,2025-09-24,2025-09-24,1,218,At Risk
C10898,19.99,2026-01-22,2026-01-22,1,98,New
C10910,29.99,2025-06-06,2025-06-06,1,328,At Risk
C10915,34.99,2025-04-27,2025-04-27,1,368,At Risk
C10925,199.96,2026-01-10,2026-01-10,1,110,New
C10942,34.99,2025-04-17,2025-04-17,1,378,At Risk
C10951,59.97,2025-02-03,2025-02-03,1,451,At Risk
C10954,119.98,2025-11-24,2025-11-24,1,157,At Risk
C10964,104.97,2025-11-01,2025-11-01,1,180,At Risk
C10980,59.99,2026-01-23,2026-01-23,1,97,New
C10983,19.99,2025-06-23,2025-06-23,1,311,At Risk
C11006,19.99,2025-01-27,2025-01-27,1,458,At Risk
C11033,89.99,2026-01-28,2026-01-28,1,92,New
C11034,59.99,2025-07-19,2025-07-19,1,285,At Risk
C11040,69.98,2025-02-07,2025-02-07,1,447,At Risk
C11066,59.99,2025-04-16,2025-04-16,1,379,At Risk
C11075,89.97,2025-07-15,2025-07-15,1,289,At Risk
C11099,34.99,2025-03-19,2025-03-19,1,407,At Risk
C11106,79.98,2025-08-31,2025-09-10,2,232,At Risk
C11110,49.99,2025-09-24,2025-09-24,1,218,At Risk
C11112,89.99,2026-04-24,2026-04-24,1,6,New
C11115,69.98,2025-11-07,2025-11-07,1,174,At Risk
C11116,29.99,2025-10-08,2025-10-08,1,204,At Risk
C11119,304.96000000000004,2025-05-13,2025-10-30,2,182,At Risk
C11135,179.98,2026-02-13,2026-02-13,1,76,New
C11136,99.98,2025-03-01,2025-03-01,1,425,At Risk
C11137,99.94999999999999,2025-12-16,2026-04-20,2,10,Potential
C11140,59.98,2025-11-29,2025-11-29,1,152,At Risk
C11147,19.99,2026-04-30,2026-04-30,1,0,New
C11163,59.99,2025-07-23,2025-07-23,1,281,At Risk
C11172,359.96,2025-10-18,2025-10-18,1,194,At Risk
C11177,59.99,2025-12-28,2025-12-28,1,123,At Risk
C11201,39.98,2025-08-26,2025-08-26,1,247,At Risk
C11219,34.99,2026-01-31,2026-01-31,1,89,New
C11243,29.99,2025-10-14,2025-10-14,1,198,At Risk
C11261,199.96,2025-04-13,2025-04-13,1,382,At Risk
C11266,29.99,2025-03-27,2025-03-27,1,399,At Risk
C11286,149.95,2026-04-03,2026-04-03,1,27,New
C11301,89.99,2025-11-21,2025-11-21,1,160,At Risk
C11318,104.97,2025-12-27,2025-12-27,1,124,At Risk
C11332,239.96,2025-11-10,2025-11-10,1,171,At Risk
C11338,89.99,2026-04-17,2026-04-17,1,13,New
C11349,29.99,2026-01-09,2026-01-09,1,111,New
C11359,59.99,2025-10-16,2025-10-16,1,196,At Risk
C11370,34.99,2025-05-13,2025-05-13,1,352,At Risk
C11376,29.99,2026-04-16,2026-04-16,1,14,New
C11381,39.98,2025-01-30,2025-01-30,1,455,At Risk
C11385,299.95,2025-04-14,2025-04-14,1,381,At Risk
C11398,139.96,2025-09-06,2025-09-06,1,236,At Risk
C11423,59.98,2025-07-21,2025-07-21,1,283,At Risk
C11424,99.95,2025-08-19,2025-08-19,1,254,At Risk
C11427,39.98,2026-04-13,2026-04-13,1,17,New
C11428,289.95,2025-12-01,2025-12-28,2,123,At Risk
C11435,119.98,2025-05-05,2025-05-05,1,360,At Risk
C11463,59.99,2025-09-19,2025-09-19,1,223,At Risk
